Description,Prompt,English
春季花粉过敏引发手背红肿瘙痒,Spring Pollen Allergy Hand Itching,Spring Pollen Allergy Hand Itching
冬季暖气房导致小腿干燥脱屑瘙痒,Winter Heating Dry Leg Itching,Winter Heating Dry Leg Itching
糖尿病患者足部神经性夜间瘙痒,Diabetic Foot Night Itching,Diabetic Foot Night Itching
蚊虫叮咬后儿童膝盖肿胀瘙痒（8岁以上）,Mosquito Bite Child Knee Swelling,Mosquito Bite Child Knee Swelling
孕妇妊娠纹部位干痒难忍,Pregnancy Stretch Mark Itching,Pregnancy Stretch Mark Itching
军训后迷彩服摩擦颈部起疹,Military Uniform Neck Rash,Military Uniform Neck Rash
化疗患者药物性皮肤刺痒,Chemotherapy Skin Irritation,Chemotherapy Skin Irritation
高原紫外线晒伤后脱皮瘙痒,Plateau Sunburn Peeling Itch,Plateau Sunburn Peeling Itch
游泳后泳池氯过敏腰腹瘙痒,Swimming Pool Chlorine Allergy,Swimming Pool Chlorine Allergy
糖尿病患者背部神经性痒,Diabetic Back Neuropathy Itch,Diabetic Back Neuropathy Itch
冬季羊毛衫刺激腋下发红发痒,Winter Wool Sweater Armpit Rash,Winter Wool Sweater Armpit Rash
银屑病患者头皮鳞屑瘙痒,Psoriasis Scalp Flaking Itch,Psoriasis Scalp Flaking Itch
梅雨季脚趾间真菌感染瘙痒,Humid Season Toe Fungus Itch,Humid Season Toe Fungus Itch
更年期女性夜间潮热皮肤刺痒,Menopause Night Skin Irritation,Menopause Night Skin Irritation
宠物跳蚤叮咬脚踝红肿瘙痒,Pet Flea Ankle Bite Swelling,Pet Flea Ankle Bite Swelling
长期透析患者手臂针口瘙痒,Dialysis Needle Site Itching,Dialysis Needle Site Itching
吃海鲜过敏手臂起风团瘙痒,Seafood Allergy Hives Itching,Seafood Allergy Hives Itching
长期戴假发导致头皮闷痒,Wig Wearing Scalp Irritation,Wig Wearing Scalp Irritation
打石膏部位皮肤无法抓挠瘙痒,Cast Covered Skin Itching,Cast Covered Skin Itching
纹身恢复期局部结痂瘙痒,Tattoo Healing Scab Itching,Tattoo Healing Scab Itching
艾滋病患者药物皮疹瘙痒（删除）,--Deleted--,--Deleted--
新床单染料过敏腰部瘙痒,New Bedding Dye Allergy Itch,New Bedding Dye Allergy Itch
健身护腕摩擦手腕红肿瘙痒,Fitness Wristband Friction Rash,Fitness Wristband Friction Rash
教师粉笔尘导致手指脱皮瘙痒,Chalk Dust Finger Peeling Itch,Chalk Dust Finger Peeling Itch
痔疮术后伤口愈合期瘙痒,Post-Hemorrhoid Surgery Itching,Post-Hemorrhoid Surgery Itching
登山树枝划伤小腿后瘙痒,Hiking Leg Scratch Itching,Hiking Leg Scratch Itching
染发剂沾到耳后皮肤过敏瘙痒,Hair Dye Behind Ear Allergy,Hair Dye Behind Ear Allergy
吃芒果后嘴唇周围瘙痒（删除）,--Deleted--,--Deleted--
静脉曲张患者腿部淤血性瘙痒,Varicose Veins Leg Itching,Varicose Veins Leg Itching
穿新牛仔裤裆部摩擦瘙痒,New Jeans Groin Friction Itch,New Jeans Groin Friction Itch
化疗后头皮毛囊炎瘙痒,Post-Chemo Folliculitis Itch,Post-Chemo Folliculitis Itch
温泉硫磺过敏后背起疹,Spa Sulfur Allergy Back Rash,Spa Sulfur Allergy Back Rash
紫外线光疗后皮肤干燥瘙痒,UV Therapy Dry Skin Itching,UV Therapy Dry Skin Itching
吃坚果过敏脖子起红疹瘙痒,Nut Allergy Neck Rash Itching,Nut Allergy Neck Rash Itching
长期穿橡胶雨靴脚部闷痒,Rubber Boots Foot Maceration,Rubber Boots Foot Maceration
烧伤愈合期皮肤紧绷瘙痒,Burn Healing Tight Skin Itch,Burn Healing Tight Skin Itch
放疗后胸部皮肤灼热瘙痒,Radiation Therapy Chest Burn,Radiation Therapy Chest Burn
吃菠萝后手心刺痛瘙痒,Pineapple Allergy Palm Itching,Pineapple Allergy Palm Itching
长期戴婚戒导致指根湿疹,Ring Finger Eczema Rash,Ring Finger Eczema Rash
高原干燥引发鼻腔黏膜瘙痒,Plateau Dry Nasal Itching,Plateau Dry Nasal Itching
纹眉后修复期眉骨瘙痒,Eyebrow Tattoo Healing Itch,Eyebrow Tattoo Healing Itch
吃辛辣食物后头皮刺痒,Spicy Food Scalp Irritation,Spicy Food Scalp Irritation
长期使用电脑手腕湿疹瘙痒,Computer Wrist Eczema Itch,Computer Wrist Eczema Itch
吃鸡蛋过敏耳后淋巴肿胀,Egg Allergy Lymph Node Swelling,Egg Allergy Lymph Node Swelling
新毛衣领口扎脖子瘙痒,New Sweater Neckline Itching,New Sweater Neckline Itching
吃草莓后手腕内侧起疹,Strawberry Allergy Wrist Rash,Strawberry Allergy Wrist Rash
针灸后穴位局部红肿瘙痒,Acupuncture Point Swelling,Acupuncture Point Swelling
长期穿高跟鞋脚掌摩擦瘙痒,High Heel Foot Friction Itch,High Heel Foot Friction Itch
吃螃蟹后膝盖窝起风团,Crab Allergy Knee Hives,Crab Allergy Knee Hives
长期戴手表手腕汗疹瘙痒,Watch Wrist Sweat Rash,Watch Wrist Sweat Rash
吃榴莲后手肘内侧瘙痒,Durian Allergy Elbow Itching,Durian Allergy Elbow Itching
新皮鞋磨脚后跟破皮瘙痒,New Shoes Heel Blister Itch,New Shoes Heel Blister Itch
吃荔枝后颈部淋巴瘙痒,Lychee Allergy Neck Itching,Lychee Allergy Neck Itching
纹身颜料过敏局部肿胀,Tattoo Ink Allergy Swelling,Tattoo Ink Allergy Swelling
吃小龙虾过敏腰部起疹,Crayfish Allergy Waist Rash,Crayfish Allergy Waist Rash
长期弹吉他指尖茧子瘙痒,Guitar Playing Callus Itch,Guitar Playing Callus Itch
吃蚕豆后小腿肚瘙痒,Fava Bean Allergy Calf Itch,Fava Bean Allergy Calf Itch
新羽绒服绒毛钻出颈部瘙痒,Down Coat Feather Neck Itch,Down Coat Feather Neck Itch
吃山药后手臂发麻瘙痒,Yam Allergy Arm Numbness,Yam Allergy Arm Numbness
长期画画颜料沾染手背瘙痒,Painting Dye Hand Irritation,Painting Dye Hand Irritation
吃桃子后耳垂肿胀瘙痒,Peach Allergy Earlobe Swelling,Peach Allergy Earlobe Swelling
新买的皮带金属扣过敏瘙痒,Belt Buckle Allergy Rash,Belt Buckle Allergy Rash
吃洋葱后手指关节瘙痒,Onion Allergy Knuckle Itching,Onion Allergy Knuckle Itching
长期吹萨克斯嘴边过敏（删除）,--Deleted--,--Deleted--
吃蓝莓后手腕脉搏处瘙痒,Blueberry Allergy Wrist Itch,Blueberry Allergy Wrist Itch
新窗帘甲醛过敏手臂瘙痒,Curtain Formaldehyde Allergy,Curtain Formaldehyde Allergy
吃蜂蜜后肚脐周围瘙痒,Honey Allergy Belly Button Itch,Honey Allergy Belly Button Itch
长期握方向盘手掌脱皮瘙痒,Steering Wheel Hand Peeling,Steering Wheel Hand Peeling
吃芝麻后脚背起小红点,Sesame Allergy Foot Dots,Sesame Allergy Foot Dots
新买的瑜伽垫膝盖接触瘙痒,Yoga Mat Knee Contact Rash,Yoga Mat Knee Contact Rash
吃羊肉后腰部发热瘙痒,Lamb Allergy Waist Burning,Lamb Allergy Waist Burning
长期握手机小指关节瘙痒,Phone Pinky Finger Irritation,Phone Pinky Finger Irritation
吃竹笋后大腿内侧瘙痒,Bamboo Shoot Allergy Thigh Itch,Bamboo Shoot Allergy Thigh Itch
新油漆家具导致手肘瘙痒,New Furniture Paint Elbow Itch,New Furniture Paint Elbow Itch
吃茄子后肩胛骨瘙痒,Eggplant Allergy Scapula Itch,Eggplant Allergy Scapula Itch
长期戴玉镯手腕汗液瘙痒,Jade Bracelet Sweat Irritation,Jade Bracelet Sweat Irritation
吃香菜后耳道轻微瘙痒,Cilantro Allergy Ear Itching,Cilantro Allergy Ear Itching
新装修房间导致脚踝瘙痒,Renovation Ankle Irritation,Renovation Ankle Irritation
吃菠菜后手指发绿瘙痒（删除）,--Deleted--,--Deleted--
长期弹钢琴指甲边缘瘙痒,Piano Nail Edge Irritation,Piano Nail Edge Irritation
吃火龙果后手掌染色瘙痒,Dragon Fruit Hand Stain Itch,Dragon Fruit Hand Stain Itch
新买盆栽土壤过敏手指痒,Potted Plant Soil Allergy,Potted Plant Soil Allergy
吃臭豆腐后腋下出汗瘙痒,Stinky Tofu Underarm Sweat Itch,Stinky Tofu Underarm Sweat Itch
长期用握力器手掌起茧,Hand Grip Callus Irritation,Hand Grip Callus Irritation
吃枇杷后颈部刺痒,Loquat Allergy Neck Prickling,Loquat Allergy Neck Prickling
新买的袜子化纤材质过敏,New Socks Fiber Allergy Itch,New Socks Fiber Allergy Itch
吃榴莲冰淇淋手指粘腻瘙痒, Durian Ice Cream Finger Stickiness,Durian Ice Cream Finger Stickiness
